sample,k,d,yes_no (1_0)
0,3,1,0
0,3,3,0
0,3,5,0
0,3,7,0
0,3,9,0
0,3,11,0
0,3,13,0
0,3,15,0
0,3,17,0
0,3,19,0
0,5,1,0
0,5,3,0
0,5,5,0
0,5,7,0
0,5,9,0
0,5,11,0
0,5,13,0
0,5,15,0
0,5,17,0
0,5,19,0
0,7,1,0
0,7,3,0
0,7,5,0
0,7,7,0
0,7,9,0
0,7,11,0
0,7,13,0
0,7,15,0
0,7,17,0
0,7,19,0
0,9,1,1
0,9,3,1
0,9,5,1
0,9,7,1
0,9,9,1
0,9,11,1
0,9,13,1
0,9,15,1
0,9,17,1
0,9,19,1
0,11,1,1
0,11,3,1
0,11,5,1
0,11,7,1
0,11,9,1
0,11,11,1
0,11,13,1
0,11,15,1
0,11,17,1
0,11,19,1
0,13,1,1
0,13,3,1
0,13,5,1
0,13,7,1
0,13,9,1
0,13,11,1
0,13,13,1
0,13,15,1
0,13,17,1
0,13,19,1
0,15,1,1
0,15,3,1
0,15,5,1
0,15,7,1
0,15,9,1
0,15,11,1
0,15,13,1
0,15,15,1
0,15,17,1
0,15,19,1
0,17,1,1
0,17,3,1
0,17,5,1
0,17,7,1
0,17,9,1
0,17,11,1
0,17,13,1
0,17,15,1
0,17,17,1
0,17,19,1
0,19,1,1
0,19,3,1
0,19,5,1
0,19,7,1
0,19,9,1
0,19,11,1
0,19,13,1
0,19,15,1
0,19,17,1
0,19,19,1
0,21,1,1
0,21,3,1
0,21,5,1
0,21,7,1
0,21,9,1
0,21,11,1
0,21,13,1
0,21,15,1
0,21,17,1
0,21,19,1
0,23,1,1
0,23,3,1
0,23,5,1
0,23,7,1
0,23,9,1
0,23,11,1
0,23,13,1
0,23,15,1
0,23,17,1
0,23,19,1
1,3,1,0
1,3,3,0
1,3,5,0
1,3,7,0
1,3,9,0
1,3,11,0
1,3,13,0
1,3,15,0
1,3,17,0
1,3,19,0
1,5,1,0
1,5,3,0
1,5,5,0
1,5,7,0
1,5,9,0
1,5,11,0
1,5,13,0
1,5,15,0
1,5,17,0
1,5,19,0
1,7,1,0
1,7,3,0
1,7,5,0
1,7,7,0
1,7,9,0
1,7,11,0
1,7,13,0
1,7,15,0
1,7,17,0
1,7,19,0
